FeatureCode,DateCode,Measurement,Units,Value,Rent and charges
E08000034,2015-2016,LA rents and charges,,62.6,a. Weekly rent mean
E08000034,2013-2014,LA rents and charges,,69,b. Weekly total charges mean
E08000034,2014-2015,LA rents and charges,,63.9,b. Weekly total charges mean
E08000034,2015-2016,LA rents and charges,,64.7,b. Weekly total charges mean
E08000035,2014-2015,LA rents and charges,,72.4,b. Weekly total charges mean
E08000035,2015-2016,LA rents and charges,,73.6,a. Weekly rent mean
E08000035,2014-2015,LA rents and charges,,71.3,a. Weekly rent mean
E08000035,2015-2016,LA rents and charges,,74.8,b. Weekly total charges mean
E08000035,2013-2014,LA rents and charges,,65.7,b. Weekly total charges mean
E08000035,2013-2014,LA rents and charges,,64.4,a. Weekly rent mean
E07000008,2015-2016,LA rents and charges,,106,b. Weekly total charges mean
E07000008,2014-2015,LA rents and charges,,107.5,b. Weekly total charges mean
E07000008,2013-2014,LA rents and charges,,100.4,b. Weekly total charges mean
E07000008,2014-2015,LA rents and charges,,102,a. Weekly rent mean
E07000008,2013-2014,LA rents and charges,,94.8,a. Weekly rent mean
E07000008,2015-2016,LA rents and charges,,101.3,a. Weekly rent mean
E07000012,2014-2015,LA rents and charges,,104.5,a. Weekly rent mean
E07000012,2015-2016,LA rents and charges,,108.4,b. Weekly total charges mean
E07000012,2013-2014,LA rents and charges,,101.8,b. Weekly total charges mean
E07000012,2013-2014,LA rents and charges,,101.6,a. Weekly rent mean
E07000012,2014-2015,LA rents and charges,,105,b. Weekly total charges mean
E07000012,2015-2016,LA rents and charges,,108.1,a. Weekly rent mean
E07000027,2013-2014,LA rents and charges,,69.6,b. Weekly total charges mean
E07000027,2015-2016,LA rents and charges,,74.3,b. Weekly total charges mean
E07000027,2015-2016,LA rents and charges,,73.5,a. Weekly rent mean
E07000027,2014-2015,LA rents and charges,,71.6,b. Weekly total charges mean
E07000027,2014-2015,LA rents and charges,,70.9,a. Weekly rent mean
E07000027,2013-2014,LA rents and charges,,68.8,a. Weekly rent mean
E07000033,2013-2014,LA rents and charges,,72.5,a. Weekly rent mean
E07000033,2015-2016,LA rents and charges,,82.7,a. Weekly rent mean
E07000033,2013-2014,LA rents and charges,,72.7,b. Weekly total charges mean
E07000033,2014-2015,LA rents and charges,,77.6,a. Weekly rent mean
E07000033,2014-2015,LA rents and charges,,77.8,b. Weekly total charges mean
E07000033,2015-2016,LA rents and charges,,82.9,b. Weekly total charges mean
E07000034,2015-2016,LA rents and charges,,79.1,b. Weekly total charges mean
E07000034,2015-2016,LA rents and charges,,78.5,a. Weekly rent mean
E07000034,2014-2015,LA rents and charges,,76.1,b. Weekly total charges mean
E07000034,2013-2014,LA rents and charges,,71.7,b. Weekly total charges mean
E07000034,2013-2014,LA rents and charges,,71,a. Weekly rent mean
E07000034,2014-2015,LA rents and charges,,75.7,a. Weekly rent mean
E06000032,2015-2016,LA rents and charges,,84.7,a. Weekly rent mean
E06000032,2013-2014,LA rents and charges,,82.2,a. Weekly rent mean
E06000032,2014-2015,LA rents and charges,,82.9,a. Weekly rent mean
E06000032,2015-2016,LA rents and charges,,91.3,b. Weekly total charges mean
E06000032,2013-2014,LA rents and charges,,88.3,b. Weekly total charges mean
E06000032,2014-2015,LA rents and charges,,88.6,b. Weekly total charges mean
E06000033,2014-2015,LA rents and charges,,91.5,b. Weekly total charges mean
E06000033,2015-2016,LA rents and charges,,94.2,b. Weekly total charges mean
E06000033,2015-2016,LA rents and charges,,84.7,a. Weekly rent mean
E06000033,2014-2015,LA rents and charges,,83,a. Weekly rent mean
E06000033,2013-2014,LA rents and charges,,84.2,b. Weekly total charges mean
E06000033,2013-2014,LA rents and charges,,76.4,a. Weekly rent mean
E06000034,2013-2014,LA rents and charges,,90.4,b. Weekly total charges mean
E06000034,2014-2015,LA rents and charges,,89.6,b. Weekly total charges mean
E06000034,2014-2015,LA rents and charges,,84.4,a. Weekly rent mean
E06000034,2015-2016,LA rents and charges,,96.6,b. Weekly total charges mean
E06000034,2015-2016,LA rents and charges,,87.1,a. Weekly rent mean
E06000034,2013-2014,LA rents and charges,,90.4,a. Weekly rent mean
E06000038,2013-2014,LA rents and charges,,94.2,a. Weekly rent mean
E06000038,2015-2016,LA rents and charges,,103.6,a. Weekly rent mean
E06000038,2014-2015,LA rents and charges,,99.8,a. Weekly rent mean
E06000038,2013-2014,LA rents and charges,,95.9,b. Weekly total charges mean
E06000038,2014-2015,LA rents and charges,,101.5,b. Weekly total charges mean
E06000038,2015-2016,LA rents and charges,,105.4,b. Weekly total charges mean
E06000039,2015-2016,LA rents and charges,,113.2,a. Weekly rent mean
E06000039,2014-2015,LA rents and charges,,110,b. Weekly total charges mean
E06000039,2015-2016,LA rents and charges,,119.8,b. Weekly total charges mean
E06000039,2014-2015,LA rents and charges,,105.5,a. Weekly rent mean
E06000039,2013-2014,LA rents and charges,,102.8,a. Weekly rent mean
E06000039,2013-2014,LA rents and charges,,109.3,b. Weekly total charges mean
E06000041,2014-2015,LA rents and charges,,106,b. Weekly total charges mean
E06000041,2013-2014,LA rents and charges,,104.6,a. Weekly rent mean
E06000041,2015-2016,LA rents and charges,,109.4,b. Weekly total charges mean
E06000041,2015-2016,LA rents and charges,,108.5,a. Weekly rent mean
E06000041,2013-2014,LA rents and charges,,105,b. Weekly total charges mean
E06000041,2014-2015,LA rents and charges,,105.8,a. Weekly rent mean
E06000042,2015-2016,LA rents and charges,,83.7,b. Weekly total charges mean
E06000042,2014-2015,LA rents and charges,,82.9,b. Weekly total charges mean
E06000042,2015-2016,LA rents and charges,,83.1,a. Weekly rent mean
E06000042,2014-2015,LA rents and charges,,82.2,a. Weekly rent mean
E06000042,2013-2014,LA rents and charges,,84.6,b. Weekly total charges mean
E06000042,2013-2014,LA rents and charges,,81.8,a. Weekly rent mean
E06000044,2013-2014,LA rents and charges,,76.8,a. Weekly rent mean
E06000044,2015-2016,LA rents and charges,,95.9,b. Weekly total charges mean
E06000044,2014-2015,LA rents and charges,,92.9,b. Weekly total charges mean
E06000044,2014-2015,LA rents and charges,,82.6,a. Weekly rent mean
E06000044,2013-2014,LA rents and charges,,82.7,b. Weekly total charges mean
E06000044,2015-2016,LA rents and charges,,85.1,a. Weekly rent mean
E06000045,2015-2016,LA rents and charges,,84.4,a. Weekly rent mean
E06000045,2013-2014,LA rents and charges,,86.8,b. Weekly total charges mean
E06000045,2014-2015,LA rents and charges,,82.3,a. Weekly rent mean
E06000045,2013-2014,LA rents and charges,,79.1,a. Weekly rent mean
E06000045,2014-2015,LA rents and charges,,89.8,b. Weekly total charges mean
E06000045,2015-2016,LA rents and charges,,91.3,b. Weekly total charges mean
E09000001,2015-2016,LA rents and charges,,125,b. Weekly total charges mean
E09000001,2013-2014,LA rents and charges,,125.2,b. Weekly total charges mean
E09000001,2015-2016,LA rents and charges,,107.9,a. Weekly rent mean
E09000001,2014-2015,LA rents and charges,,124,b. Weekly total charges mean
E09000001,2014-2015,LA rents and charges,,106.6,a. Weekly rent mean
E09000001,2013-2014,LA rents and charges,,102.3,a. Weekly rent mean
E09000002,2014-2015,LA rents and charges,,92.3,a. Weekly rent mean
E09000002,2015-2016,LA rents and charges,,108.1,b. Weekly total charges mean
E09000002,2015-2016,LA rents and charges,,91.8,a. Weekly rent mean
E09000002,2013-2014,LA rents and charges,,87.5,a. Weekly rent mean
E09000002,2013-2014,LA rents and charges,,102.1,b. Weekly total charges mean
E09000002,2014-2015,LA rents and charges,,106,b. Weekly total charges mean
E09000003,2013-2014,LA rents and charges,,101.7,b. Weekly total charges mean
E09000003,2013-2014,LA rents and charges,,98.5,a. Weekly rent mean
E09000003,2015-2016,LA rents and charges,,106,a. Weekly rent mean
E09000003,2014-2015,LA rents and charges,,100.7,a. Weekly rent mean
E09000003,2014-2015,LA rents and charges,,102.7,b. Weekly total charges mean
E09000003,2015-2016,LA rents and charges,,113.4,b. Weekly total charges mean
E09000005,2013-2014,LA rents and charges,,119,b. Weekly total charges mean
E09000005,2014-2015,LA rents and charges,,122.5,b. Weekly total charges mean
E09000005,2015-2016,LA rents and charges,,129.4,b. Weekly total charges mean
E09000005,2014-2015,LA rents and charges,,120,a. Weekly rent mean
E09000005,2013-2014,LA rents and charges,,111.4,a. Weekly rent mean
E09000005,2015-2016,LA rents and charges,,128.3,a. Weekly rent mean
E09000007,2013-2014,LA rents and charges,,102.9,a. Weekly rent mean
E09000007,2014-2015,LA rents and charges,,108.5,a. Weekly rent mean
E09000007,2014-2015,LA rents and charges,,115.2,b. Weekly total charges mean
E09000007,2013-2014,LA rents and charges,,110.1,b. Weekly total charges mean
E09000007,2015-2016,LA rents and charges,,115.8,a. Weekly rent mean
